"","publisher","journal","role","editor","affiliation","url","date"
"28","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dr. RAJA RIZWAN HUSSAIN","Associate Professor Saudi Arabia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"29","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Tan Kok Tat","Assistant Professor, Department of Petrochemical Engineering Universiti Tunku Abdul Rahman, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"30","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Zulkifli M. A. Merican","Assistant Professor, Department of Fundamental and Applied Sciences Universiti Teknologi Petronas, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"31","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Lam Man Kee","Universiti Teknologi Petronas, Malaysia","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"32","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dragomir S. Yankov","Head of Biochemical Reactors Laboratory, Institute of Chemical Engineering, Bulgarian Academy of Sciences Bulgaria","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"33","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Dr. Mane Rahul Maruti","Department of Chemistry Shivaji University, India","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"34","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Chiranjib Chakraborty","Professor, Department of Bio-informatics School of Computer and Information sciences Galgotias University, India","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"35","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Mohammad Javad Parnian","Research Associate, Department of Chemistry University of Calgary, Canada","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"36","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Neha Chawla","Research specialist Carnegie Mellon University, USA","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"37","Longdom","Journal of Advanced Chemical Engineering","Editorial Board","Masuell Alberto Martin","Associate Proffesor and Inv. Adj, Institute of Applied Physics-CONICET-UNSL National University of San Luis, Argentina","https://www.longdom.org/advanced-chemical-engineering/editorial-board.html",2021-05-17
"38","Longdom","Advancements in Genetic Engineering","Editorial Board","Arvind Chhabra","Executive Editor Department Of Medicine University of Connecticut Health Center, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"39","Longdom","Advancements in Genetic Engineering","Editorial Board","Diego Alexander Garzo-Alvarado","Executive Editor Professor Universidad Nacional de Colombia, Colombia, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"40","Longdom","Advancements in Genetic Engineering","Editorial Board","Massimo Conese","Executive Editor Associate Professor, Department of Biomedical Sciences University of Foggia, Italy","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"41","Longdom","Advancements in Genetic Engineering","Editorial Board","Xiu Quan Zhang","Executive Editor Department of Obstetrics and Gynecology The University of Utah, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"42","Longdom","Advancements in Genetic Engineering","Editorial Board","Gang (Mike) Zhang","Division of Nephrology, Massachusetts General Hospital USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"43","Longdom","Advancements in Genetic Engineering","Editorial Board","Khue Vu Nguyen","Full Project Scientist, Departments of Medicine and Pediatrics, The Mitochondrial and Metabolic Disease Center, School of Medicine University of California, San Diego, CA, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"44","Longdom","Advancements in Genetic Engineering","Editorial Board","Youming Zhang","Molecular Genetics and Genomics Group, National Heart and Lung Institute, Imperial College United Kingdom","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"45","Longdom","Advancements in Genetic Engineering","Editorial Board","Kathleen Laura Hefferon","Professor University of Toronto, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"46","Longdom","Advancements in Genetic Engineering","Editorial Board","Randal J Kaufman","Director, Degenerative Disease Research, Center for Neuroscience, Aging, and Stem Cell Research, Sanford-Burnham Medical Research Institute USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"47","Longdom","Advancements in Genetic Engineering","Editorial Board","Brittney Shea Herbert","Associate Professor, Department of Medical and Molecular Genetics Indiana State University, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"48","Longdom","Advancements in Genetic Engineering","Editorial Board","Ken-ichiro Inoue","Professor, School of Pharmacy Kitasato University, Japan","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"49","Longdom","Advancements in Genetic Engineering","Editorial Board","Zuoqin Yan","Professor, Department of Orthopedic Surgery Zhongshan Hospital Fudan University, China","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"50","Longdom","Advancements in Genetic Engineering","Editorial Board","Runlin Z Ma","Professor, Institute of Genetics and Developmental Biology, Chinese Academy of Sciences Beijing, China","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"51","Longdom","Advancements in Genetic Engineering","Editorial Board","Shah Maulin P.","Professor, Industrial Waste Water Research Lab, Enviro Technology Limited Aligarh Muslim University, India, Industrial Waste Water Research Lab, Enviro Technology Limited, India  [Read Interview session with Shah Maulin P.]","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"52","Longdom","Advancements in Genetic Engineering","Editorial Board","Mostafa Norizadeh Tazehkand","Associate Professor, Medical Biology and Genetic department Cukurova University, Turkey","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"53","Longdom","Advancements in Genetic Engineering","Editorial Board","Hisham A EL Masry","Professor, Department of Biotechnology Alexandria University, Egypt","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"54","Longdom","Advancements in Genetic Engineering","Editorial Board","Surasak Buranatrevedh","Professor, Department of Community and Family Medicine Thammasat University, Thailand","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"55","Longdom","Advancements in Genetic Engineering","Editorial Board","Shuji Ogino","Associate Professor, Department of Medical Oncology, Dana-Farber Cancer Institute USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"56","Longdom","Advancements in Genetic Engineering","Editorial Board","Victor V Levenson","Associate Professor, Department of Radiation Oncology Rush University Medical Center, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"57","Longdom","Advancements in Genetic Engineering","Editorial Board","Taosheng Huang","Associate professor, Department of Pediatrics, Division of Genetics & Metabolism University of California, USA","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"58","Longdom","Advancements in Genetic Engineering","Editorial Board","Hulya Gul","Associate Professor Istanbul University, Turkey","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"59","Longdom","Advancements in Genetic Engineering","Editorial Board","Ahmed Mohamed EL Bondkly","Associate Professor, Genetics and Cytology Dept, National Research Center Egypt","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"60","Longdom","Advancements in Genetic Engineering","Editorial Board","Elsaid Zohry Oudah","Associate Professor, Department of Animal Production Mansoura University, Egypt","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"61","Longdom","Advancements in Genetic Engineering","Editorial Board","Ziad W Jaradat","Associate Professor Jordan University of Science and Technology, Jordan","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
"62","Longdom","Advancements in Genetic Engineering","Editorial Board","Bui Chi Buu","Institute of Agricultural Science for Southern Vietnam University of science Ho chi Minh City, Vietnam","https://www.longdom.org/advancements-in-genetic-engineering/editorial-board.html",2021-05-17
