publisher	journal	issn	role	editor	affiliation	url	date
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Michaël  Guittaut	University of Franche-Comté; Besançon, France	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Manish Kumar Gupta	University of Central Florida; Orlando, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Bradford G. Hill	University of Louisville; Louisville, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Riekelt  Houtkooper	Academic Medical Center; Amsterdam, Netherlands	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Insoo  Kang	Yale University; New Haven, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Ron  Kohen	Hebrew University of Jerusalem; Jerusalem, Israel	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Oran  Kwon	Ewha Womans University; Seoul, South Korea	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Dudley  Lamming	University of Wisconsin-Madison; Madison, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Changhan David Lee	University of Southern California; Los Angeles, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Guillermo  Lopez Lluch	Universidad Pablo de Olavide; Sevilla, Spain	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Cátia F. Lourenço	Faculty of Pharmacy, University of Coimbra; Coimbra, Portugal	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Vincent  Lynch	University at Buffalo; Buffalo, United States	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Andrea B Maier	National University of Singapore; Singapore, Singapore	https://www.frontiersin.org/journals/aging/editors	2022-01-11
Frontiers	Frontiers in in Aging	2673-6217	Associate Editor	Zhiyong  Mao	Tongji University; Shanghai, China	https://www.frontiersin.org/journals/aging/editors	2022-01-11
