editor	affiliation	orcid	role	journal	issn	publisher	url	date
Nonia Pariente	NA	0000-0002-3666-5683	Editor<U+200B>-in-Chief	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Ines Alvarez-Garcia	NA	0000-0002-8996-1849	Senior Editor, Section Manager	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Joanna Clarke	NA	0000-0002-9004-6103	Senior Editor, Front Section	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Gabriel Gasque	NA	0000-0002-6062-5809	Senior Editor, Section Manager	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Richard Hodge	NA	0000-0002-1920-1385	Associate Editor	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Paula Jauregui	NA	0000-0001-9677-3822	Associate Editor	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Roli Roberts	NA	0000-0001-6636-1579	Senior Editor, Section Manager	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
Lucas Smith	NA	0000-0003-3452-6177	Associate Editor	PLOS Biology	1545-7885	PLOS	https://journals.plos.org/plosbiology/s/staff-editors	2022-01-18
