editor	affiliation	orcid	role	journal	issn	publisher	url	date
Anthony Pak-Hin Kong	University of Hong Kong Hong Kong	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Jung Eun Lee	Seoul National University Republic of Korea	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Alfred S. Lewin	University of Florida United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Vanesa Magar	Centro de Investigacion Cientifica y de Educacion Superior de Ensenada Mexico	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Pirjo Mäkelä	University of Helsinki Finland	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Mercedes Susan Mandell	University of Colorado United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Richard Mankin	USDA ARS Center for Medical, Agricultural, and Veterinary Entomology United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Limin Mao	NA	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Adina Merenlender	University of California, Berkeley United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Claudia Mettke-Hoffmann	Liverpool John Moores University United Kingdom	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
José M. Morán	NA	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Partha Mukhopadhyay	National Institutes of Health United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Hiranya K. Nath	Sam Houston State University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Ju Lee Oei	Royal Hospital for Women and the University of New South Wales Randwick	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Olivier Neyrolles	Institute of Pharmacology & Structural Biology, CNRS at University of Toulouse France	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Joseph P.R.O. Orgel	Illinois Institute of Technology United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Alexander Panfilov	Universiteit Gent Belgium	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Wayne A. Phillips	Peter MacCallum Cancer Centre Australia	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Cheryl S. Rosenfeld	University of Missouri Columbia United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Luis Schang	University of Alberta Canada	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Christian Schönbach	RIKEN Yokohama Institute Japan	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Guy J-P. Schumann	University of Bristol and Remote Sensing Solutions Inc. United Kingdom and United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Debjani Sihi	Emory University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Neil R. Smalheiser	University of Illinois-Chicago United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Michael B. Steinborn	Julius-Maximilians-Universität Würzburg United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Gloria Su	Columbia University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Hirokazu Taniguchi	Shimonoseki City University Japan	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Christian Taube	Leiden University Netherlands	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Kok Keng Tee	University of Malaya Malaysia	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Praveen Thumbikat	Northwestern University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Rochelle Tractenberg	Georgetown University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
J Trinidad Segovia	University of Almeria Spain	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Sten H. Vermund	Vanderbilt University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Edison Iglesias de Oliveira Vidal	São Paulo State University (UNESP) Brazil	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
 I-Jong Wang	National Taiwan University Hospital  Taiwan	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Gayle E. Woloschak	Northwestern University United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Shin Yamazaki	University of Texas Southwestern Medical Center United States	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
Mingming Zhou	University of Macau Macau	0000-0002-3354-4317	Section Editor	PLOS ONE	1932-6203	PLOS	https://journals.plos.org/plosone/s/section-editors	2022-01-18
