editor	role	affiliation	journal	issn	publisher	url	date	orcid
Edgar Carvalho	Editorial Board	Serviço de Imunologia do Hospital Universitário Professor Edgard Santos Faculdade de Medicina da Universidade Federal da Bahia Salvador, Bahia, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Adriano Casulli	Editorial Board	European Union Reference Laboratory for Parasites; WHO Collaborating Centre for the Epidemiology, Detection and Control of Cystic and Alveolar Echinococcosis; Istituto Superiore di Sanità Rome, Italy	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Sujay Chattopadhyay	Editorial Board	JIS Institute of Advanced Studies &amp; Research Kolkata West Bengal, India	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Jean-Philippe Chippaux	Editorial Board	UMR MERIT - Institut de Recherche pour le Développement CRT - Institut Pasteur Paris, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Nam-Hyuk Cho	Editorial Board	Seoul National University College of Medicine Seoul, South Korea	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Olivier Chosidow	Editorial Board	AP-HP, Henri Mondor Hospital UPEC, Créteil, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Marco Coral-Almeida	Editorial Board	University of the Americas Quito, Ecuador	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Eugenia Corrales-Aguilar	Editorial Board	Reserach Center for Tropical Diseases University of Costa Rica San José, Costa Rica	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Janaka de Silva	Editorial Board	Faculty of Medicine University of Kelaniya Ragama, Sri Lanka	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Alain Debrabant	Editorial Board	Division of Emerging and Transfusion Transmitted Diseases US Food and Drug Administration Silver Spring, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Philippe Desprès	Editorial Board	La Reunion University La Réunion, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Eric Dumonteil	Editorial Board	Department of Parasitology Universidad Autónoma de Yucatán Merida, Mexico	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Walderez O. Dutra	Editorial Board	Instituto de Ciências Biológicas Universidade Federal de Minas Gerais Belo Horizonte, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Dileepa Ediriweera	Editorial Board	Health Data Science Unit University of Kelaniya Ragama, Sri Lanka	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ahmed Fahal	Editorial Board	The Mycetoma Research Centre University of Khartoum Khartoun, Sudan	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Keke Fairfax	Editorial Board	University of Utah School of Medicine Salt lake City, UT, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Marcelo U. Ferreira	Editorial Board	Department of Parasitology Universidade de São Paulo São Paulo, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Hans-Peter Fuehrer	Editorial Board	Institute of Parasitology University of Veterinary Medicine Vienna Vienna, Austria	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Ricardo Toshio Fujiwara	Editorial Board	Departamento de Parasitologia Universidade Federal de Minas Gerais Belo Horizonte, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Timothy G. Geary	Editorial Board	Emeritus McGill University Montreal, Canada	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Indika Gawarammana	Editorial Board	Faculty of Medicine University of Peradeniya and Professorial Medical Unit Teaching Hospital Peradeniya Sri Lanka	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Amy T. Gilbert	Editorial Board	National Wildlife Research Center USDA/APHIS/Wildlife Services Fort Collins, CO, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Emily Gurley	Editorial Board	Bloomberg School of Public Health Johns Hopkins University Baltimore, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Andrés F. Henao-Martínez	Editorial Board	University of Colorado School of Medicine. Aurora, CO, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Simone Haeberlein	Editorial Board	Justus Liebig University Giessen, Germany 	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Epco Hasker	Editorial Board	Institute of Tropical Medicine Antwerp Antwerp, Belgium	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Susan Madison-Antenucci	Editorial Board	Wadsworth Center, NYSDOH Albany, NY, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
José María Gutiérrez	Editorial Board	Instituto Clodomiro Picado Universidad de Costa Rica San José, Costa Rica	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Scott Halstead	Editorial Board	Pediatric Dengue Vaccine Initiative Rockville, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
David Harley	Editorial Board	Australian National University Canberra, Australia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Achim Hoerauf	Editorial Board	Institute of Medical Microbiology German Center for Infectious Disease Research (DZIF) University Hospital Bonn Bonn, Germany	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Michael Hsieh	Editorial Board	Department of Urology George Washington University and Children’s National Health Systems Washington DC, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Charles L. Jaffe	Editorial Board	Department of Microbiology and Molecular Genetics Hebrew University-Hadassah Medical School Jerusalem, Israel	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Aaron R. Jex	Editorial Board	Population Health &amp; Immunity Division Walter &amp; Eliza Hall Institute Parkville, Australia and Faculty of Veterinary and Agricultural Sciences The University of Melbourne Parkville, Australia	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Francis M. Jiggins	Editorial Board	Department of Genetics University of Cambridge Cambridge, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Pikka Jokelainen	Editorial Board	Statens Serum Institut Copenhagen, Denmark	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Nadira D. Karunaweera	Editorial Board	Department of Parasitology University of Colombo Colombo, Sri Lanka and Harvard T.H. Chan School of Public Health Harvard University Massachusetts, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Jennifer Keiser	Editorial Board	Department of Medical Parasitology and Infection Biology Swiss Tropical and Public Health Institute Basel, Switzerland	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Kempaiah Kemparaju	Editorial Board	Department of Biochemistry University of Mysore Mysore, India	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Karin Kirchgatter	Editorial Board	Department of Specialized Laboratories Superintendence for Control of Endemic Diseases – SUCEN and Institute of Tropical Medicine of São Paulo University of São Paulo São Paulo, Brazil	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Peter J. Krause	Editorial Board	School of Public Health Yale School of Public Health, Yale School of Medicine New Haven, CT, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
A. Desiree La Beaud	Editorial Board	Center for Immunobiology and Vaccine Development Children's Hospital Oakland Research Institute Oakland, CA, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Poppy Lamberton	Editorial Board	Institute of Biodiversity, Animal Health and Comparative Medicine Wellcome Centre for Integrative Parasitology University of Glasgow Scotland, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Louis Lambrechts	Editorial Board	Institut Pasteur – CNRS Paris, France	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Camille Lebarbenchon	Editorial Board	University of Reunion Island Saint-Denis, Reunion	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Bruce Y. Lee	Editorial Board	Department of International Health Johns Hopkins Bloomberg School of Public Health Baltimore, MD, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Job Lopez	Editorial Board	Department of Pediatrics National School of Tropical Medicine at Baylor College of Medicine Houston, TX, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Mary Lopez-Perez	Editorial Board	Department of Immunology and Microbiology University of Copenhagen Copenhagen, Denmark	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Sara Lustigman	Editorial Board	Lindsley F. Kimball Research Institute New York Blood Center New York, NY, USA	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Shan Lv	Editorial Board	National Institute of Parasitic Diseases Chinese Center for Disease Control and Prevention Shanghai, China	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
Paula MacGregor	Editorial Board	Department of Biochemistry University of Cambridge, Cambridge, UK	PLOS Neglected Tropical Diseases	1935-2727	PLOS	https://journals.plos.org/plosntds/s/editorial-board	2022-01-18	NA
