publisher	journal	issn	role	editor	affiliation	url	date
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. C. W. Lim	Department of Architecture and Civil Engineering, City University of Hong Kong, Kowloon, Hong Kong	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Yijun Liu	Department of Mechanics and Aerospace Engineering, Southern University of Science and Technology, Shenzhen 518055, China	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Juan Antonio Martínez Mora	Institut d’Investigació per a la Gestió Integrada de les Zones Costaneres (IGIC), Universitat Politècnica de València (UPV), 46730 Gandia, València, Spain	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Massimiliano Masullo	Department of Architecture and Industrial Design, Università degli Studi della Campania “Luigi Vanvitelli”, 81100 Caserta CE, Italy	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Theodore E. Matikas	Department of Materials Science and Engineering, University of Ioannina, GR-45110 Ioannina, Greece	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Gianluca Memoli	School of Engineering and Informatics, University of Sussex, Sussex House, Falmer Brighton BN1 9RH, UK	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Suhyun Park	School of Electrical and Electronics Engineering, Chung-Ang University, Seoul 06974, Korea	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Mircea Radulian	National Institute for Earth Physics, 12 Calugareni str., 077125 Magurele, Romania	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Michel Roger	Centre Acoustique, Ecole Centrale de Lyon, 36 avenue Guy de Collongue, 69134 Ecully CEDEX, France	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Rosario Aniello Romano	Department of Industrial Engineering, University of Naples Federico II, Piazzale Tecchio 80, 80125 Naples, Italy	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Vicent Romero-Garcia	Laboratoire d’Acoustique de l'Université du Mans (LAUM), UMR CNRS 6613, Le Mans Université, 72085 Le Mans, CEDEX 9, France	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Monika Rychtarikova	1. Faculty of Architecture, KU Leuven, Hoogstraat 51, 9000 Gent/ Paleizenstraat 65, 1030 Brussels, Belgium	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Dr. Salvatore Salamone	Department of Civil, Architectural and Environmental Engineering, University of Texas at Austin, Austin, TX 78758, USA	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Kausik Sarkar	Department of Mechanical and Aerospace Engineering, The George Washington University, Washington, DC 20052, USA	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. P. Ravi Selvaganapathy	Department of Mechanical Engineering and School of Biomedical Engineering, McMaster University, Hamilton, ON L8S 4L7, Canada	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Ilias Stavrakas	Department of Electrical and Electronics Engineering, Faculty of Engineering, University of West Attica, 122 44 Egaleo, Greece	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Andrea Trucco	Department of Electrical, Electronic, Telecommunications Engineering, and Naval Architecture (DITEN), University of Genoa, 16145 Genova, Italy	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Acoustics	2624-599X	Editorial Board Members	 Prof. Dr. Junru Wu	Department of Physics, University of Vermont, Burlington, VT 05405, USA	https://www.mdpi.com/journal/aerospace/editors	2022-01-13
MDPI	Actuators	2076-0825	Editors	 Prof. Dr. Kenji Uchino	Electrical Engineering The Pennsylvania State University, 135 Energy and The Environment Laboratory, University Park, PA 16802, USA	https://www.mdpi.com/journal/actuators/editors	2022-01-13
MDPI	Actuators	2076-0825	Editors	 Prof. Dr. André Preumont	Mechanical Engineering and Robotics, Active Structures Laboratory, Department of Control Engineering and System Analysis, Université Libre de Bruxelles, 50 Av. F.D.Roosevelt CP165/55, B-1050 Brussels, Belgium	https://www.mdpi.com/journal/actuators/editors	2022-01-13
MDPI	Actuators	2076-0825	Editors	 Prof. Dr. Manfred Kohl	Institute of Microstructure Technology, Karlsruhe Institute of Technology (KIT), Postfach 3640, D-76021 Karlsruhe, Germany	https://www.mdpi.com/journal/actuators/editors	2022-01-13
MDPI	Actuators	2076-0825	Editors	 Dr. Hai Wang * 	Discipline of Engineering and Energy, Centre of Water, Energy, Waste, Murdoch University, Perth, WA 6150, Australia	https://www.mdpi.com/journal/actuators/editors	2022-01-13
MDPI	Actuators	2076-0825	Editors	 Dr. Matteo Cianchetti * 	The BioRobotics Institute, Scuola Superiore Sant'Anna, Viale Rinaldo Piaggio 34, 56025 Pontedera (PI), Italy	https://www.mdpi.com/journal/actuators/editors	2022-01-13
