publisher	journal	role	editor	affiliation	url	date
BioMedCentral	Critical Care	NA	John Kellum	University of Pittsburgh School of Medicine, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Marin H Kollef	Washington University School of Medicine, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Katarzyna Kotfis, 	Pomeranian Medical University, Poland	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Jihad Mallat	Cleveland Clinic Abu Dhabi, United Arab Emirates	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	John Marini	University of Minnesota, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Michael Matthay	University of California at San Francisco, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Anthony McLean	University of Sydney, Australia	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Sangeeta Mehta	University of Toronto, Canada	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Xavier Monnet	Bicêtre Hospital, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Zudin Puthucheary	Barts and The London School of Medicine &amp; Dentistry, Royal London Hospital, UK	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Marco Ranieri	Ospedale S. Giovanni Battista, Italy	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Claudio Ronco	Ospedale San Bortolo, International Renal Research Institute, Italy	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Marcus J Schultz	Academic Medical Centre, The Netherlands	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Chris Seymour	University of Pittsburgh, USA	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Tarek Sharshar	Paris Descartes University, France	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
BioMedCentral	Critical Care	NA	Mervyn Singer	University College London, UK	https://ccforum.biomedcentral.com/about/editorial-board	2022-01-20
