editor	role	affiliation	journal	issn	publisher	url	date	orcid
Prajal Pradhan	Editorial Board	Potsdam Institute for Climate Impact Research (PIK) Germany	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-0491-5489
Arindam Roy	Editorial Board	EPFL, Swiss Federal Institute of Technology Lausanne Switzerland	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-4890-6851
Prakash Kumar Sarangi	Editorial Board	Central Agricultural University India	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	NA
Md Nazirul Sarker	Editorial Board	Neijiang Normal University China	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-8887-521X
Shweta Singh	Editorial Board	Purdue University USA	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-0193-9349
Oludele Solaja	Editorial Board	Olabisi Onabanjo University Nigeria	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	NA
Amanda E. Sorensen	Editorial Board	Michigan State University USA	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0003-2936-1144
Hélder Spínola	Editorial Board	University of Madeira Portugal	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-6455-1595
Juan Uribe-Toril	Editorial Board	University of Almería (Spain) Spain	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0002-0227-801X
Zeng Yiwen	Editorial Board	National University of Singapore Singapore	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-7787-314X
Atiq Zaman	Editorial Board	Curtin University Australia	PLOS Sustainability and Transformation	2767-3197	PLOS	https://journals.plos.org/sustainabilitytransformation/s/editorial-board	2022-01-18	0000-0001-8985-0383
