publisher	journal	issn	role	editor	affiliation	url	date
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Ladislav Volicer, MD, PhD	Department of Aging Studies  University of South Florida, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Lin Zhan, PhD	Department of Nursing University of Memphis, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Morton A Lieberman, PhD	Department of Psychiatry University of California, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Yuegang Zuo, PhD	Department of Chemistry and Biochemistry  University of Massachusetts Dartmouth, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Steven Wagner, PhD	Department of Neuroscience  University of California, San Diego, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Alex W. Costley, PhD	Department of Gerontology & Health Education  City University of New York, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Priscilla D Allen, PhD	Department of Social Work,  Louisiana State University, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Ronald A Reminick, PhD	Department of Anthropology  Cleveland State University, USA	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Glenda Cook, PhD	Department of Nursing Northumbria University, UK	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Francesco Landi, MD	Department of Internal Medicine and Geriatrics  Catholic University of the Sacred Heart, Italy	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Martin A Katzman, M.D. F.R.C.P.(C)	Department of Psychology  Lakehead University, Canada	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Emmanuel Andres, MD	Department of Internal Medicine  University of Strasbourg, France	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Alexa Ioana Dana, MD, PhD	Department of Geriatrics  Grigore T. Popa University of Medicine and Pharmacy, Romania	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Journal of Aging and Geriatric Medicine	2576-3946	Editorial Board	Mladen Davidovic, PhD	Department of geriatricians and gerontologist University of Belgrade, Serbia	https://www.scitechnol.com/editorialboard-aging-geriatric-medicine.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Mohammed Shamssain	Department of Pharmacy University of Newcastle Upon Tyne, UK	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Stephen D Lucas, MD	Department of Anesthesiology University of Florida, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
SciTechnol	Analgesia & Resuscitation : Current Research	2324-903X	Editorial Board	Robert L Barkin, PhD	Department of Anesthesiology & Pharmacology Rush University Medical College, USA	https://www.scitechnol.com/editorialboard-analgesia-resuscitation-current-research.php	2022-01-28
