editor	role	affiliation	journal	issn	publisher	url	date	orcid
Manpreet Bhatti	Editorial Board	Guru Nanak Dev University India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4180-5812
MJ Booysen	Editorial Board	Stellenbosch University South Africa	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-2817-2069
Erin Bray	Editorial Board	San Francisco State University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Martina Angela Caretta	Editorial Board	Lund University Sweden	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Gabriella Carolini	Editorial Board	Massachusetts Institute of Technology USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Katrina Charles	Editorial Board	University of Oxford United Kingdom	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-2236-7589
Muhammad Jehanzeb Masud Cheema	Editorial Board	PMAS Arid Agriculture University, Rawalpindi, Pakistan Pakistan	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Xueming Chen	Editorial Board	Fuzhou University China	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Greet (Greta) Deruyter	Editorial Board	Gent University Belgium	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
João Miguel Dias	Editorial Board	Universidade de Aveiro PORTUGAL	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-7613-6241
Koffi Djaman	Editorial Board	New Mexico State University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1904-6979
Caetano Dorea	Editorial Board	University of Victoria Canada	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-9367-0668
Isabel Iglesias Fernández	Editorial Board	Centro Interdisciplinar de Investigação Marinha e Ambiental (CIIMAR ); University of Porto Portugal	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-4900-135X
Tim Foster	Editorial Board	University of Technology Sydney Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-1738-3450
Matthew Freeman	Editorial Board	Emory University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Rachel Louise Gomes	Editorial Board	University of Nottingham UK	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0003-4284-1740
Sanja Gottstein	Editorial Board	University of Zagreb Croatia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1424-2911
Subrata Hait	Editorial Board	Indian Institute of Technology Patna India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-5945-0354
Marlia Hanafiah	Editorial Board	Universiti Kebangsaan Malaysia Malaysia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Manuel Herrera	Editorial Board	University of Cambridge UK	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-9662-0017
Jason Hubbart	Editorial Board	West Virginia University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-0305-5993
Dafeng Hui	Editorial Board	Tennessee State University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-5284-2897
Jean-Francois Humbert	Editorial Board	INRAE France	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1519-5651
Dasapta Irawan	Editorial Board	Institut Teknologi Bandung Indonesia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-1526-0863
Aaron Jenkins	Editorial Board	University of Sydney and Edith Cowan University Australia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Wendy Jepson	Editorial Board	Texas A&amp;M University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Marc Jeuland	Editorial Board	Duke University USA	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-8325-2622
Jean-Marc Mwenge Kahinda	Editorial Board	Council for Scientific and Industrial Research South Africa South Africa	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Iddo Kan	Editorial Board	Hebrew University Israel	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	NA
Moonis Khan	Editorial Board	King Saud University Saudi Arabia	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-0548-8581
Johanna Koehler	Editorial Board	Vrije Universiteit Amsterdam The Netherlands	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0002-9045-4844
Bimlesh Kumar	Editorial Board	Indian Institute of Technology Guwahati India	PLOS Water	2767-3219	PLOS	https://journals.plos.org/water/s/editorial-board	2022-01-18	0000-0001-6001-8411
